001	张三	85	92	78	88
002	李四	76	89	95	82
003	王五	91	77	83	90
004	赵六	55	81	72	79
005	孙七	88	94	86	91
006	周八	79	67	80	75
007	吴九	93	87	90	84
008	郑十	72	75	58	80
009	钱一	81	83	77	86
010	冯二	65	70	73	66
011	陈晨	89	91	82	93
012	林浩	74	79	85	71
013	杨帆	90	86	92	87
014	徐宇	69	73	67	74
015	朱轩	83	80	76	81
016	何泽	77	82	79	73
017	高瑞	92	88	94	90
018	马航	71	52	70	68
019	胡阳	86	90	84	89
020	罗鑫	67	72	75	69
021	江辰	80	78	82	76
022	沈俊	73	70	65	77
023	韩旭	94	91	87	92
024	曹明	66	69	71	65
025	丁宇	82	85	79	83
026	吕杰	78	74	81	70
027	孟凡	87	93	90	85
028	樊宇	70	76	72	79
029	焦阳	91	84	88	95
030	严浩	75	68	66	73
031	温泽	84	81	77	80
032	施凯	69	74	71	67
033	陶然	88	92	85	91
034	尤航	72	79	76	70
035	葛明	90	83	86	87
036	纪凡	53	71	68	66
037	盛宇	81	77	83	79
038	霍辰	76	82	73	75
039	卞阳	93	89	91	88
040	齐越	68	70	74	72
041	虞天	85	80	76	82
042	欧泽	79	84	71	77
043	邢浩	92	87	90	94
044	俞辰	71	65	69	67
045	邸明	83	78	81	86
046	储俊	77	73	80	74
047	隗阳	89	91	84	90
048	关航	66	72	69	70
049	米凡	80	82	75	78
050	刁宇	74	68	71	65
051	终瑞	91	85	88	92
052	闻泽	69	75	73	66
053	匡阳	82	79	84	80
054	寇鑫	73	70	67	76
055	劳辰	87	93	90	86
056	浦俊	70	77	72	71
057	尚旭	94	90	86	91
058	农明	65	68	70	69
059	谷宇	81	83	78	85
060	武杰	78	74	82	73
061	吉凡	86	92	89	84
062	汤宇	72	79	75	68
063	卫阳	90	84	87	93
064	殷浩	67	71	66	70
065	冷泽	83	80	77	81
066	娄辰	76	81	79	72
067	霍瑞	92	88	93	89
068	孔航	71	66	69	74
069	尹阳	85	82	79	87
070	狄鑫	68	73	56	65
071	虞辰	80	77	83	76
072	伏俊	75	69	67	71
073	成旭	91	86	90	88
074	饶明	66	70	72	68
075	严宇	82	79	75	80
076	蓝杰	77	73	81	74
077	元凡	88	91	85	92
078	杭宇	70	76	71	69
079	符阳	93	89	91	87
080	苗浩	69	72	67	73
081	厉泽	84	81	78	82
082	谷辰	73	68	70	66
083	柴瑞	89	92	86	90
084	米航	71	77	74	70
085	昝阳	90	85	88	94
086	寇鑫	65	69	72	67
087	娄辰	81	78	83	79
088	闻俊	76	82	73	75
089	匡旭	92	87	90	89
090	农明	68	71	66	72
091	吉宇	83	79	76	81
092	汤杰	78	74	80	70
093	卫凡	87	93	89	85
094	殷宇	72	78	75	69
095	冷阳	91	84	87	92
096	娄浩	67	70	51	71
097	霍泽	82	80	77	84
098	孔辰	75	81	72	73
099	尹瑞	93	88	91	90
100	狄航	66	73	69	54
